id,mobile,name,birthday,ID_number,clinic_card_id,social_security_id,inpatient_id,gender,has_deleted,other_info,createdBy,create_time,update_time
PTS_91ac19cbceade9dabda,17730579628,张启灵,Fri Apr 27 1962 00:00:00 GMT+0800 (GMT+08:00),580266170111380000,V1,1e2bcda9c,H12c598dc36ad2,O,0,,USER_77917abb99c8b28d1ec94b2869dc868d5,Thu Aug 09 1979 00:00:00 GMT+0800 (GMT+08:00),Sat Oct 11 1980 08:00:00 GMT+0800 (GMT+08:00)
PTS_cdcca89e4b9b1b99969,17920433801,吴邪,Sat Feb 25 1961 00:00:00 GMT+0800 (GMT+08:00),319129497678898560,V0,6bb4cfabc,H08c8dcda78cdb,F,0,,USER_5bca6a8481ce9ddc7bbcbc9a2ad9ca10b,Sun May 14 1995 00:00:00 GMT+0800 (GMT+08:00),Sun Oct 15 1995 08:00:00 GMT+0800 (GMT+08:00)
PTS_395c9dae8b9e09dd1cb,14408551518,张角,Mon Nov 04 1946 00:00:00 GMT+0800 (GMT+08:00),564984578970167040,V8,37aa410cd,H0d9c27b9bdbc1,M,1,,USER_73cad890c27b69cc4d198bc3cdc59a45c,Sat Jul 27 1968 00:00:00 GMT+0800 (GMT+08:00),Thu Jun 27 1968 00:00:00 GMT+0800 (GMT+08:00)
PTS_6d0d9aaddaacfcd2dc0,16597101156,袁绍,Fri Oct 14 1983 08:00:00 GMT+0800 (GMT+08:00),934203188371829500,V3,49d7f6cba,Hd9a5aabdcaf37,M,0,,USER_a02bdcdda68ec9a2399e8d4a697b9bab1,Mon Aug 10 2009 00:00:00 GMT+0800 (GMT+08:00),Mon Aug 10 2009 00:00:00 GMT+0800 (GMT+08:00)
PTS_7a7c9dbc7ab8959c795,13826514140,张郃,Fri Nov 22 1985 08:00:00 GMT+0800 (GMT+08:00),529471484857211970,V2,f58b104ed,Hdfdc6c7a3a71b,F,0,,USER_73cad890c27b69cc4d198bc3cdc59a45c,Sun Jul 28 2002 00:00:00 GMT+0800 (GMT+08:00),Sun Jul 28 2002 00:00:00 GMT+0800 (GMT+08:00)
PTS_79ba6da9c0d72398adf,16306275890,张辽,Wed Feb 04 1976 00:00:00 GMT+0800 (GMT+08:00),732891435677840800,V6,2c98995c3,H9bdca8cdfe71c,M,1,,USER_6db956312f81c8587d1cadc299ada1acb,Fri Jan 05 1996 00:00:00 GMT+0800 (GMT+08:00),Tue Jan 06 1998 00:00:00 GMT+0800 (GMT+08:00)
PTS_dfb5d7d555ca4dc8cad,18040874531,夏侯惇,Mon Apr 19 1937 00:00:00 GMT+0800 (GMT+08:00),297442958178785300,V2,74abfdbca,H14ccd8d3c75b9,M,0,,USER_ecc9dbad98b9cddcdabaca0d8be9dedb2,Sun Apr 18 1954 00:00:00 GMT+0800 (GMT+08:00),Sun Apr 18 1954 00:00:00 GMT+0800 (GMT+08:00)
PTS_d0969ad89af996129ad,13635390064,典韦,Thu Mar 15 1973 00:00:00 GMT+0800 (GMT+08:00),543475774415707800,V9,e199cbdc9,Hf87ad1b849c86,F,0,,USER_392ad4d986ba4b8b00aa999cbd368adad,Mon Nov 17 1986 08:00:00 GMT+0800 (GMT+08:00),Mon Nov 17 1986 08:00:00 GMT+0800 (GMT+08:00)
PTS_dbd99cacdfaac4c93bb,17246164935,郭嘉,Sat Oct 20 1945 08:00:00 GMT+0800 (GMT+08:00),774643574486986600,V3,a5966c3c7,He9ddba7bed4ac,F,0,,USER_bd6c7acbb9a43a95d9c1d0ccd93cab0cb,Wed Nov 11 1959 08:00:00 GMT+0800 (GMT+08:00),Wed Nov 11 1959 08:00:00 GMT+0800 (GMT+08:00)
PTS_6d79a2d89ccd09dad4a,18975112658,程吴,Sat Nov 05 1949 00:00:00 GMT+0800 (GMT+08:00),995607307155403100,V11,1bb99bdd1,H2f9d6da4cade9,F,0,,USER_26729bcd3cd9b99ccfac95c9b2dbcdb7f,Sun Feb 03 2013 00:00:00 GMT+0800 (GMT+08:00),Sun Feb 03 2013 00:00:00 GMT+0800 (GMT+08:00)
