id,userName,name,password,role,appMode,orgID
USER_5285abcab9d90a98ecc8a8db078d9acb4,test_0,乔巴,test,super_admin,all,
USER_2c93d92aa19c9d579d09d98ba999daa4f,test_1,哑舍,test,doctor,dr,ORG_ae2bd80d8d995d31bc1adceec1bcbdc9a
USER_7399ba59aadce34499ad2bb9d8a9ab2c8,test_2,阿笠,test,org_admin,dr,ORG_bea4b0998ded8f2a9cace1e8ead7b43d6
USER_3add9c2eb9abaada1698d989cd47d81bc,test_3,格雷戈·豪斯,test,doctor,dr,ORG_8694bb03fc96293badc994b9b9ada9cd9
USER_547ad53ea873a91bcfab4f3ddb3d8c9fa,test_4,丽莎·卡蒂,test,doctor,dr,ORG_ca749dabdcdcb7999b7abd690a4e29b4d
USER_545c2a35c8570db99c9c9da1b0290bc3a,test_5,艾利森·卡门诺,test,doctor,all,ORG_add9c83aabd1bfac69c56f78cfc41741c
USER_71d19b0b9d99b77e96aaa1cb9cbceaaad,test_6,华佗,test,org_admin,dr,ORG_4cddda55f2bccdecbc3dc40dbcabbaaca
USER_63a4c098b878c4c700bafca12c49dcbdc,test_7,李时珍,test,doctor,all,ORG_09bd9d3baada160a919cdf07e22c0a898
USER_db930c9acbd92a97892d62bb35badbc9c,test_8,扁鹊,test,sys_admin,all,ORG_ec9cb9ba8cba811538b2bbcfaebcacb4f
USER_cd9cdaab6b8c4c9dbae9bac2cc6bcdb6b,test_9,宴大夫,test,doctor,all,ORG_129a3dbcd52debcb98fb0d4bd0aabcbac
USER_299da5facd8dbd0d5d46dcea28ab548ba,test_10,车耀汉,test,sys_admin,all,ORG_be7997dae91b809c815c26999f9b88bb2
USER_98db93b09bca99c9d9dc9191d9c0b56b4,test_11,新堂湊,test,doctor,dr,ORG_01db4cb01c9710ba9dad2202fea956da8
USER_9cdb8cba9addc9bac9dd0da0b3db6b315,test_12,本田翼,test,doctor,dr,ORG_4cdd1ac4b4f3da85de955b6dc6dcbca2b
USER_83ab3a9dab93c2b8a9cba91dbb4153505,test_13,罗,test,doctor,all,ORG_4d3cba0fbaac4bd9c73ab8b5cdd83a6aa
USER_2a59ba39dd0a20bbbdceaadb3ad2df9b2,test_14,周元,test,org_admin,dr,ORG_99bf653d5aa9f4a5d918d6bb4fbda9bac
USER_e8ba819aba993aa938bddc7cb5dbab835,test_15,间宫启介,test,doctor,all,ORG_ec9cb9ba8cba811538b2bbcfaebcacb4f
USER_e8a1dc4df49d86acbbcdb298ccba6cb08,test_16,濑户夏美,test,org_admin,all,ORG_40bed51bfccadbb9a9c2dbd9902dafc8b
USER_8c9b427cedbb69fed9dd6f3d69c14f991,test_17,文彩元,test,doctor,all,ORG_09bd9d3baada160a919cdf07e22c0a898
USER_5acedeb978ad5b89aaddf99c5970a8580,test_18,新出智明,test,doctor,dr,ORG_bea4b0998ded8f2a9cace1e8ead7b43d6
USER_f6cdc9bbb8cda998a19fdeea9aabb7599,test_19,蔺相如,test,sys_admin,dr,ORG_4dd5df297aecd8ddca199b1d03024c9cd
USER_0fc9faa919abcd8ddb9d7bd9c886cddbc,test_20,神农,test,doctor,dr,ORG_40bed51bfccadbb9a9c2dbd9902dafc8b
USER_64b9b94ba29a0779d9d93bc6ae92cd9be,test_21,姜山赫,test,org_admin,all,ORG_a76bb9aad5dac1b6349eacd8a71908c8c
USER_59d99effd7b99d8ca98cbdcf7bc9a2dab,test_22,郑英在,test,doctor,all,ORG_129a3dbcd52debcb98fb0d4bd0aabcbac
USER_dca81d2c1aadaa68c8d09b9aacbeda406,test_23,吴宝美,test,sys_admin,all,ORG_2a7a8f940fd9aacacdc8bab5b7bb9e0d1
USER_faea9bbab8ad1d3c39dca65a31db26dc9,test_24,金隽婠,test,doctor,all,ORG_e4089d22dcf9cacc21917d07c2bd4996c
USER_8d1b2c21c464ba24cf1d880bdcf0dd78b,test_25,安涏援,test,sys_admin,dr,ORG_099db0eaadadd5047cc9cd8dd928b82bb
USER_4f5a2a59d9c8983dd589ba37ddd8b6c0e,test_26,李翊晙,test,org_admin,all,ORG_49ebb3b5daa58aa2badbaddcdc88dcb27
USER_5bb9db1d4aa9651bbcc6b8addebed22b8,test_27,蔡颂和,test,doctor,all,ORG_e4089d22dcf9cacc21917d07c2bd4996c
USER_da9d49b20b5db38931861adbaafd9e289,test_28,杨硕亨,test,doctor,dr,ORG_ca970c5e6c5a2cacf8abacd9fcdd448c7
USER_6cd9ba916a82c9bcca24daca7dcdbbcdd,test_29,高山诚司,test,doctor,all,ORG_792722da0c7a1b9aa9dcfd1ad19c2819c
USER_48dcab8b4adaba0abedbc95c14a899fd8,test_30,间宫启介,test,doctor,all,ORG_792722da0c7a1b9aa9dcfd1ad19c2819c
USER_3f6bf30bb9d1cdbc24d37f8adcbac204b,test_31,木村,test,doctor,dr,ORG_be7997dae91b809c815c26999f9b88bb2
USER_fdabd99da9b5d09c0d1ad8bd9acd90cc2,test_32,财前五郎,test,org_admin,all,ORG_ca749dabdcdcb7999b7abd690a4e29b4d
